candidate	ed_perc
Biden	0.056216931216931214
Bloomberg	0.03066914498141264
Booker	0.027406417112299464
Brown	0.049129353233830844
Bullock	0.12883102793599133
Buttigieg	0.0499691548426897
Castro	0.03728813559322034
Clinton	0.02198142414860681
Cuomo	0.0700075547720977
Delaney	0.04115289765721332
Gabbard	0.04407670893906588
Gillibrand	0.04405016824717039
Harris	0.0583804143126177
Hickenlooper	0.05352183791971724
Inslee	0.08971962616822429
Klobuchar	0.04757785467128028
Landrieu	0.026340254105980787
Merkley	0.0376226826608506
Ojeda	0.04742589703588144
ORourke	0.0641304347826087
Sanders	0.047411104179663134
Steyer	0.023081721771678103
Swalwell	0.05132192846034215
Warren	0.06709317585301837
Yang	0.04267336052714151
