candidate	aff_perc
Ojeda	0.0
Buttigieg	0.006134969325153374
Hickenlooper	0.02358490566037736
Bullock	0.029411764705882353
Klobuchar	0.030120481927710843
Castro	0.031446540880503145
Landrieu	0.03529411764705882
Inslee	0.035343035343035345
ORourke	0.05555555555555555
Booker	0.06666666666666667
Gillibrand	0.10416666666666667
Gabbard	0.12195121951219512
Steyer	0.14102564102564102
Brown	0.14511041009463724
Bloomberg	0.1485148514851485
Delaney	0.18518518518518517
Harris	0.22413793103448276
Merkley	0.2318840579710145
Biden	0.23255813953488372
Yang	0.23357664233576642
Cuomo	0.2912280701754386
Swalwell	0.3076923076923077
Clinton	0.3591549295774648
Warren	0.3829268292682927
Sanders	0.38688524590163936
