"Username","Location","Verified User?","Tweet ID","Tweet Time","Tweet Text","Tweet Place","Retweet Count","Favorite Count"
"Public Ed Partners","OHIO","False","1081204839474966528","2019-01-04 15:04:56","RT @HaveYouHeardPod: What's so funny about #edreform? In the latest @HaveYouHeardPod we talk to @roxannaelden about Adequate Yearly Progres…","","1","0"
"Education Reform at Cambridge University Press","Cambridge, England","False","1081203669008297985","2019-01-04 15:00:17","It is @UNWorld Braille Day. The importance of Braille as a means of communication in education for blind and partially sighted children and young people shouldn’t be underestimated. 
We have tried Braille too. Hope this is up to standard @RNIB!
#WorldBrailleDay #EdReform https://t.co/e5SYkjx9cZ","","0","2"
"RiShawn Biddle","ÜT: 38.7973156,-77.1318254","False","1081199825260109824","2019-01-04 14:45:00","We must also encourage companies to hire poor people who get higher ed - and may have to even encourage firms to provide  in-house training. Which is something @byron_auguste and @OpptyatWork have been working on. #edreform @Noahpinion","","0","1"
"JFF","Boston, MA","False","1081199109334319104","2019-01-04 14:42:10","As the new #Congress takes office, JFF’s policy team will offer ideas on what legislators can do to promote economic advancement for all through changes in #education, #workforce, and anti-poverty policies. https://t.co/kUkg2Gg2a4 #wkdev #edreform #poverty https://t.co/tlcO5NFFMh","","2","4"
"RiShawn Biddle","ÜT: 38.7973156,-77.1318254","False","1081198002562310144","2019-01-04 14:37:46","On the first, @JacobBastian25 explained this back in November. Here is the paper he cowrote about EITC (https://t.co/KOTYKGnubx  ) @Noahpinion #edreform https://t.co/jCz5pojPh7 …","","0","0"
"Bob Bry","Cambridge, MA","False","1081196524997169154","2019-01-04 14:31:53","RT @TheFuturist007: How do you feel about robots giving ""tailored"" lessons to online students in the future? 📚🏫

#VirtualReality #AR #MR #V…","","203","0"
"Ryan Drew","Tri-Cities","False","1081195476043460608","2019-01-04 14:27:43","RT @historyhunter22: Great analogy. #TeachBetter #EdReform #FutureDriven https://t.co/DSc7UTgQB9","","2","0"
"RiShawn Biddle","ÜT: 38.7973156,-77.1318254","False","1081194494874275840","2019-01-04 14:23:49","The problem with EITC is two-fold. For one, the poor end up paying for the credits through their own taxes, meaning that they never really get ahead. Secondly, it pushes work when what many poor people need are higher levels of education to gain better-paying jobs. #edreform https://t.co/WNNcQLzv3F","","0","0"
"RiShawn Biddle","ÜT: 38.7973156,-77.1318254","False","1081193290635059201","2019-01-04 14:19:02","This is something #edreform-ers in New York should support. #immigration https://t.co/lqzRbunV0y","","0","0"
"Bryan Hunt","Bryan, TX","False","1081192606628020224","2019-01-04 14:16:19","Great analogy. #TeachBetter #EdReform #FutureDriven https://t.co/DSc7UTgQB9","","2","4"
"EdTechReview","India","False","1081191772582223872","2019-01-04 14:13:00","'As per the Global Workforce Happiness Index, India ranks 55th on the list of countries with the most satisfied workforce.'
https://t.co/UyuZ26MD8V
#edleaders #highereducation #21stcskills #edreform #careermodechallenge #counselling #21stedchat","","2","1"
"RiShawn Biddle","ÜT: 38.7973156,-77.1318254","False","1081191240476082176","2019-01-04 14:10:53","Which is the goal of such efforts. Deny education to children deemed incapable. 

Of course, IQ tests merely assess what kids have already learned, not what they are capable of learning. Which makes them just another standardized test. #edreform https://t.co/UNcVGmYxw7","","0","0"
"Toreador de pájaros","☁ ENTRE NUBES ☁","False","1081189317165363201","2019-01-04 14:03:15","RT @eraser: v. 17, n. 1 (2018). Revista Brasileira de Aprendizagem Aberta e a Distância @abed_brasil https://t.co/Pn57JG4NFI  #elearning #m…","","3","0"
