"Prasenjit Sur","","False","1084035243219181568","2019-01-12 10:31:57","RT @India_Policy: The Finance Commission must consider this. Let the share of States in the shareable pool be zero. Let the Union fund the…","","55","0"
"नेत्रा डाऊ 🙏🇮🇳","India","False","1084034543563276288","2019-01-12 10:29:10","RT @India_Policy: The Finance Commission must consider this. Let the share of States in the shareable pool be zero. Let the Union fund the…","","55","0"
"Rishi Choudhary","","False","1084032185546559488","2019-01-12 10:19:48","RT @India_Policy: The Finance Commission must consider this. Let the share of States in the shareable pool be zero. Let the Union fund the…","","55","0"
"Prime Maven","","False","1084030635235307521","2019-01-12 10:13:38","RT @India_Policy: The Finance Commission must consider this. Let the share of States in the shareable pool be zero. Let the Union fund the…","","55","0"
"sanjay jha 🇮🇳","","False","1084030373267308544","2019-01-12 10:12:35","RT @India_Policy: The Finance Commission must consider this. Let the share of States in the shareable pool be zero. Let the Union fund the…","","55","0"
"Shan","Singapore","False","1084030160276344833","2019-01-12 10:11:45","RT @India_Policy: The Finance Commission must consider this. Let the share of States in the shareable pool be zero. Let the Union fund the…","","55","0"
"vinka","","False","1084030150981898240","2019-01-12 10:11:42","RT @India_Policy: The Finance Commission must consider this. Let the share of States in the shareable pool be zero. Let the Union fund the…","","55","0"
"bhunesh","","False","1084030058505723904","2019-01-12 10:11:20","RT @India_Policy: The Finance Commission must consider this. Let the share of States in the shareable pool be zero. Let the Union fund the…","","55","0"
"ModiSarkar II","Bharat ","False","1084028691779186690","2019-01-12 10:05:55","RT @India_Policy: The Finance Commission must consider this. Let the share of States in the shareable pool be zero. Let the Union fund the…","","55","0"
"Nick Verma 🇮🇳","INDIA 🇮🇳","False","1084028466117443584","2019-01-12 10:05:01","RT @India_Policy: The Finance Commission must consider this. Let the share of States in the shareable pool be zero. Let the Union fund the…","","55","0"
"Amita","West Midlands,UK","False","1084028190702665728","2019-01-12 10:03:55","RT @India_Policy: The Finance Commission must consider this. Let the share of States in the shareable pool be zero. Let the Union fund the…","","55","0"
"K.M.S 🚩RSS🚩","India","False","1084028115603648512","2019-01-12 10:03:37","RT @India_Policy: The Finance Commission must consider this. Let the share of States in the shareable pool be zero. Let the Union fund the…","","55","0"
"samir_patil","भारत India","False","1084027404148973569","2019-01-12 10:00:48","RT @India_Policy: The Finance Commission must consider this. Let the share of States in the shareable pool be zero. Let the Union fund the…","","55","0"
"संजय कुमार टक्कर","भारत","False","1084026975080075269","2019-01-12 09:59:05","RT @India_Policy: The Finance Commission must consider this. Let the share of States in the shareable pool be zero. Let the Union fund the…","","55","0"
"Ravikant Trivedi","Durg, India","False","1084026341517942784","2019-01-12 09:56:34","RT @India_Policy: The Finance Commission must consider this. Let the share of States in the shareable pool be zero. Let the Union fund the…","","55","0"
"ram","","False","1084026247582179328","2019-01-12 09:56:12","RT @India_Policy: The Finance Commission must consider this. Let the share of States in the shareable pool be zero. Let the Union fund the…","","55","0"
"Ankur Agarwal 🛫🇮🇳","Pattaya, Thailand","False","1084026233707327488","2019-01-12 09:56:09","RT @India_Policy: The Finance Commission must consider this. Let the share of States in the shareable pool be zero. Let the Union fund the…","","55","0"
"Vivek Gupta","","False","1084025965745979392","2019-01-12 09:55:05","RT @India_Policy: The Finance Commission must consider this. Let the share of States in the shareable pool be zero. Let the Union fund the…","","55","0"
"माया एस","","False","1084025637021507590","2019-01-12 09:53:46","RT @India_Policy: The Finance Commission must consider this. Let the share of States in the shareable pool be zero. Let the Union fund the…","","55","0"
"Rajesh Kumar","Ranchi, India","False","1084025560135680001","2019-01-12 09:53:28","RT @India_Policy: The Finance Commission must consider this. Let the share of States in the shareable pool be zero. Let the Union fund the…","","55","0"
"Cosmic_Indian 🇮🇳","USA","False","1084025172661846016","2019-01-12 09:51:56","RT @India_Policy: The Finance Commission must consider this. Let the share of States in the shareable pool be zero. Let the Union fund the…","","55","0"
"हम भारत के लोग","India","False","1084024921934618624","2019-01-12 09:50:56","The Finance Commission must consider this. Let the share of States in the shareable pool be zero. Let the Union fund the citizen and not the State Govts. Let all citizen get Income Support, #SchoolVouchers, #HealthInsurance directly and 100% funded by the Union. https://t.co/LXV3XtzJpF","","55","107"
"Deplorable4Life","","False","1083940514552938497","2019-01-12 04:15:31","@TheMarkPantano I want #schoolvouchers for #military #boardingschools","","0","0"
"🇺🇸Lady_LeGrey✝️🇺🇸","Alaska, USA","False","1083492988767035392","2019-01-10 22:37:13","The school day could be reduced to 4 hours a day with ONLY actual academics were taught:  Reading, Writing, Math, Science and History...Especially History!!  #EducationReform  #SchoolReform #SchoolVouchers https://t.co/YktPzVx4XH","","1","2"
"CommanderMAGA❌","U.S.A.","False","1083156219433385985","2019-01-10 00:19:01","RT @CommanderMAGA: @USEDgov

How to Reduce #SchoolShootings!

#PublicSchool Performance, Behavior &amp; Security Issues can be solved Easily!…","","14","0"
"drnc","India","False","1082726128903704577","2019-01-08 19:49:59","RT @India_Policy: You can ensure quality education to every child, just by funding students thru #SchoolVouchers, instead of funding the Go…","","12","0"
"Jaanu Micks","Mohali, India","False","1082670143438639109","2019-01-08 16:07:31","RT @India_Policy: You can ensure quality education to every child, just by funding students thru #SchoolVouchers, instead of funding the Go…","","12","0"
"Vikas 🇮🇳","","False","1082663174741151744","2019-01-08 15:39:50","RT @India_Policy: You can ensure quality education to every child, just by funding students thru #SchoolVouchers, instead of funding the Go…","","12","0"
"Balram Suhane 🇮🇳","","False","1082623087802122240","2019-01-08 13:00:32","RT @India_Policy: You can ensure quality education to every child, just by funding students thru #SchoolVouchers, instead of funding the Go…","","12","0"
"Vinod","Hyderabad","False","1082579912664305666","2019-01-08 10:08:59","RT @India_Policy: You can ensure quality education to every child, just by funding students thru #SchoolVouchers, instead of funding the Go…","","12","0"
"Nikhil Kumar","India","False","1082547111495852032","2019-01-08 07:58:38","RT @India_Policy: You can ensure quality education to every child, just by funding students thru #SchoolVouchers, instead of funding the Go…","","12","0"
"Mahesh D M","","False","1082544853223915521","2019-01-08 07:49:40","RT @India_Policy: You can ensure quality education to every child, just by funding students thru #SchoolVouchers, instead of funding the Go…","","12","0"
"Bharat","+Sanātana Dharma.+","False","1082544661544108032","2019-01-08 07:48:54","RT @India_Policy: You can ensure quality education to every child, just by funding students thru #SchoolVouchers, instead of funding the Go…","","12","0"
"Ram","India","False","1082541240799784960","2019-01-08 07:35:19","RT @India_Policy: You can ensure quality education to every child, just by funding students thru #SchoolVouchers, instead of funding the Go…","","12","0"
"Retweet Wale Baba","","False","1082540563117727745","2019-01-08 07:32:37","RT @India_Policy: You can ensure quality education to every child, just by funding students thru #SchoolVouchers, instead of funding the Go…","","12","0"
"Seetharama kotari","","False","1082539442076831744","2019-01-08 07:28:10","RT @India_Policy: You can ensure quality education to every child, just by funding students thru #SchoolVouchers, instead of funding the Go…","","12","0"
"हम भारत के लोग","India","False","1082538471984529409","2019-01-08 07:24:18","You can ensure quality education to every child, just by funding students thru #SchoolVouchers, instead of funding the Govt teachers and other edu staff. https://t.co/gSLr0dQVAx","","12","19"
"G. Naulty","","False","1081890599706464259","2019-01-06 12:29:54","RT @SoCalBohoGal: Additionally,  we need to stick to English as our official language, as multiligualis harms our educational systems. 
#Bu…","","1","0"
"SoCalBohoGal","So Cal","False","1081885322525368320","2019-01-06 12:08:56","Additionally,  we need to stick to English as our official language, as multiligualis harms our educational systems. 
#BuildTheWall
#BuildTheWallNow 
#BuildTheDamnWall
#buildTheWall2019
#SpeakEnglishBEFOREComingToUS
#SchoolVouchers
#DeportIllegals
@realDonaldTrump
@POTUS https://t.co/3PvqWGFD3R","","1","2"
"Kyle","","False","1081333795729494016","2019-01-04 23:37:21","@PainDontHurt_ @RealShaqC @mrags316 @sofascout1 @scammyjenkins @defnotGG @bri_91 @KenAlofoque @EvGuyBoston @Publix #SchoolVouchers","","0","5"
"Patty Loera","Texas, USA","False","1080947942175981568","2019-01-03 22:04:07","@GregAbbott_TX Liberal policies are hurting all students of all backgrounds. Parents need to demand #SchoolVouchers Only the strong districts survive.","","0","0"
